title,company,town,link
Продавець за прилавок (Біличі),Novus,Київ,https://grc.ua/vacancies/69942809
Продавець-консультант (м. Хрещатик),Novus,Київ,https://grc.ua/vacancies/69942795
Продавець на овочевий відділ (Позняки),Novus,Київ,https://grc.ua/vacancies/69942803
Продавець за прилавок (Лавіна мол),Novus,Київ,https://grc.ua/vacancies/69942737
"Продавець-касир ""МіМаркет"" (ст. м. Теремки)",Novus,Київ,https://grc.ua/vacancies/69942797
Продавець-консультант у відділ напоїв (Дарницький район),Novus,Київ,https://grc.ua/vacancies/69942801
Продавець продовольчих товарів (Дарницький р-н),Novus,Київ,https://grc.ua/vacancies/69942808
Продавець за прилавок,Novus,Київ,https://grc.ua/vacancies/69942812
Продавець продовольчих товарів,Novus,Рівне,https://grc.ua/vacancies/69942743
Продавець у супермаркет (Оболонь),Novus,Київ,https://grc.ua/vacancies/69942775
Продавець продовольчих товарів,Novus,Ірпінь,https://grc.ua/vacancies/69942674
Продавець за прилавок (Святошинський р-н),Novus,Київ,https://grc.ua/vacancies/69942679
Касир,VARUS,Запоріжжя,https://grc.ua/vacancies/69937893
Продавець-консультант (ст. м. Університет),Novus,Київ,https://grc.ua/vacancies/69942718
Продавець касир,Novus,Київ,https://grc.ua/vacancies/69942749
Продавець-консультант,ВиЯр,Львів,https://grc.ua/vacancies/69940881
Продавець завітринна зона,VARUS,Кривий Ріг,https://grc.ua/vacancies/69938476
Пекар 4 розряду,VARUS,Запоріжжя,https://grc.ua/vacancies/69938467
Продавець-консультант (Контрактова),Novus,Київ,https://grc.ua/vacancies/69942675
Продавець на викладку (Лавіна мол),Novus,Київ,https://grc.ua/vacancies/69942677
Касир торгового залу,VARUS,Запоріжжя,https://grc.ua/vacancies/69938463
Продавець – Касир (Мобільна група),Novus,Київ,https://grc.ua/vacancies/69942685
"Касир торгового залу 2-Східний, вул. Незалежності України , 16",VARUS,Кривий Ріг,https://grc.ua/vacancies/69938481
Продавець продовольчих товарів (Мобільна група),Novus,Київ,https://grc.ua/vacancies/69942687
Продавець за прилавок (Шевченківський район),Novus,Київ,https://grc.ua/vacancies/69942690
Продавець (Крюківщина),Novus,Вишневе,https://grc.ua/vacancies/69942692
Продавець за прилавок в супермаркет (Троєщина),Novus,Київ,https://grc.ua/vacancies/69942694
Продавець (Крюківщина),Novus,Вишневе,https://grc.ua/vacancies/69942696
Продавець-консультант (Святошинський р-н.),Novus,Київ,https://grc.ua/vacancies/69942704
Продавець продовольчих товарів (м. Лівобережна),Novus,Київ,https://grc.ua/vacancies/69942705
"Продавець за прилавочнa зона, ТЦ ""Скай Молл"" (Троєщина)",Novus,Київ,https://grc.ua/vacancies/69942710
"Продавець (відділ гастрономія), ТЦ ""Скаймолл"", Троещина",Novus,Київ,https://grc.ua/vacancies/69942712
"Продавець на викладку товарів, ТЦ Скай Молл",Novus,Київ,https://grc.ua/vacancies/69942714
"Продавець-касир (ЖК ""Софія Residence"", ""Мі Маркет"")(Софіївська Борщагівка)",Novus,Київ,https://grc.ua/vacancies/69942721
"Продавець-консультант на викладку товару в Мі-Маркет (Виноградар, Оболонь; неповний день)",Novus,Київ,https://grc.ua/vacancies/69942755
Продавець за прилавок (Печерськ),Novus,Київ,https://grc.ua/vacancies/69942762
Продавець касир,Novus,Київ,https://grc.ua/vacancies/69942787
Продавець касир,Novus,Київ,https://grc.ua/vacancies/69942789
Продавець касир,Novus,Київ,https://grc.ua/vacancies/69942791
Стажер електронної комерції (E-commerce Intern),L'Oreal Ukraine,Київ,https://grc.ua/vacancies/69940780
Менеджер з активацій в електронній комерції (E-Activation Manager),L'Oreal Ukraine,Київ,https://grc.ua/vacancies/69940785
Менеджер з оптової торгівлі (фарм.),Аптека АНЦ,Кривий Ріг,https://grc.ua/vacancies/69939890
Менеджер з оптової торгівлі (фармація),Аптека АНЦ,Кременчук,https://grc.ua/vacancies/69939891
Менеджер з оптової торгівлі (фармація),Аптека АНЦ,Кам'янське,https://grc.ua/vacancies/69939892
Менеджер з оптової торгівлі (фармація),Аптека АНЦ,Львів,https://grc.ua/vacancies/69939893
Продавець-консультант в магазин побутової техніки (р-н аквапарку),Фокстрот,Львів,https://grc.ua/vacancies/69941975
"Продавець-консультант в магазин побутової техніки (ТРЦ ""Форум"")",Фокстрот,Львів,https://grc.ua/vacancies/69941979
Продавець-консультант в магазин побутової техніки,Фокстрот,Обухів,https://grc.ua/vacancies/69941974
"Продавець-консультант (ТЦ ""Преображенський"")",Фокстрот,Одеса,https://grc.ua/vacancies/69941969
"Продавець-консультант (ТЦ ""Сіті Центр"")",Фокстрот,Одеса,https://grc.ua/vacancies/69941972
"Продавець-консультант (ТЦ ""Острів"")",Фокстрот,Одеса,https://grc.ua/vacancies/69941966
Адміністратор магазину,VARUS,Дніпро,https://grc.ua/vacancies/69939069
"Продавець-консультант (ТЦ ""Квадрат"")",Фокстрот,Київ,https://grc.ua/vacancies/69941962
Продавець-консультант (ТРЦ Dream berry),Фокстрот,Київ,https://grc.ua/vacancies/69941958
